College Name,Contact no,Email,Website,Address
https://www.jahnavicolleges.com/,"Balaji Residency, Mallika Arjun Nagar, Boduppal, Secunderabad, Telangana 500098"
"Indian Agricultural Research Institute Contact Number, Address & Location Map, Delhi","+91-11-25842367 , +91-11-25843382",director@iari.res.in,http://www.iari.res.in,Pusa RoadKarol BaghDelhiDelhiIndia- 110012
"TNAU Contact Number, Address & Location Map, Coimbatore",0422 661 1200,management@tnau.ac.in,http://www.tnau.ac.in,"TNAU - RI Block, Tamil Nadu Agricultural University, PN Pudur, Coimbatore, Tamil Nadu 641003"
"Anbil Dharmalingam Agricultural College and Research Institute (ADACRI), Dindigul Contact Number, Address & Location Map, Dindigul",+91-0431-2906100,deanagritry@tnau.ac.in,http://www.tnau.ac.in/agtry/,Trichy - Dindugal RoadNavalurkottapattuTamil Nadu 620009
"National Dairy Research Institute Contact Number, Address & Location Map, Karnal",+91-184-2259008,academiccoordinator.ndri@gmail.com,http://www.ndri.res.in/ndri/Design/index.html,"Near Jewels Hotel, GT Rd, Karnal, Haryana 132001"
"College of Technology Contact Number, Address & Location Map, Udham Singh Nagar",+91-5944-233338,dean@gbpuat-tech.ac.in,http://www.gbpuat-tech.ac.in,"College of Technology, GBPUA&T, Pantnagar - 263145,rnINDIA"
"Jagannath University Contact Number, Address & Location Map, Jaipur",+91-141-3020500,admission@jagannathuniversity.org,http://www.jagannathuniversity.org,"IP-2 & 3, Phase IV,Sitapura Ind. Area, Opp. Chokhi Dhani,Jaipur, Pin 302022."
"Brainware University Contact Number, Address & Location Map, Kolkata",+91-9831316035,sd.sro@brainwareuniversity.ac.in,http://www.brainwareuniversity.ac.in,"398, Ramkrishnapur Road, Barasat, Near Jagadighata Market, Kolkata, West Bengal 700125"
"Central Institute of Fisheries Education Contact Number, Address & Location Map, Mumbai",022-2636 1446,director@cife.edu.in,http://cife.edu.in/,"Fisheries University Road, Seven Bungalows , Andheri (W), Mumbai, Maharashtra, India - 400061"
"College of Agriculture (CA), Junagadh Contact Number, Address & Location Map, Junagadh",0285 -2670289,agricol@jau.in,http://www.jau.in/coa/,Junagadh- 362001 Gujarat (India)
"Jharkhand Rai University Contact Number, Address & Location Map, Ranchi",+91-9693296660,info@jru.edu.in,https://www.jru.edu.in/,"Jharkhand Rai University Kamre, Ratu Road Ranchi"
"Sam Higginbottom University of Agriculture, Technology & Sciences Contact Number, Address & Location Map, Allahabad",0532 268 4781,registrar@shuats.edu.in,http://shuats.edu.in/,"Post. Agriculture Institute, Allahabad 211007, U.P, India."
"Sanskriti University Contact Number, Address & Location Map, Mathura","+91-91 9358512345, 7500723300, +91-7500183300,+91-9690899944",enquiry@sanskriti.edu.in,http://www.sanskriti.edu.in,"28 K. M. Stone, Mathura - Delhi Highway, Chhata, Mathura Uttar Pradesh (U.P.) Pin - 281401"
"Mahatma Jyoti Rao Phoole University Contact Number, Address & Location Map, Jaipur","1800212334444, 9929604024",admission.mjrp@gmail.com,https://www.mjrpuniversity.ac.in/,"Ram Nagar Ext, New Sanganer Rd, Sodala, Jaipur, Rajasthan 302019"
"Jawaharlal Nehru Krishi Vishwa Vidyalaya Contact Number, Address & Location Map, Jabalpur",skrao.deanfaculty@gmail.com,http://www.jnkvv.nic.in/,"Jawaharlal Nehru Krishi Vishwa Vidyalaya Adharatal, Jabalpur, Madhya Pradesh Pin: 482004",
"Vanavarayar Institute of Agriculture Contact Number, Address & Location Map, Coimbatore",9942908410,director@via.ac.in,http://www.via.ac.in/?q=about_via,"Coimbatore, Tamil Nadu 642103"
"Anand Niketan College of Agriculture Contact Number, Address & Location Map, Chandrapur",07176-282158,anca.anandwan@gmail.com,http://www.ancagri.in/,"Warora, Pin : 442914, District - Chandrapur, Maharashtra"
"Dr. Panjabrao Deshmukh Krishi Vidyapeeth, Akola Contact Number, Address & Location Map, Akola",0724-2258405,http://www.pdkv.ac.in/?page_id=3838#sthash.ye8oKeXW.dpbs,"College of Agricultural Engineering and Technology Dr. PDKV, Akola (MS), India – 444104",
"Chandigarh University Contact Number, Address & Location Map, Mohali","+91-160-3051003, 1800 1212 88800",admissions@cumail.in,http://www.cuchd.in,"Chandigarh University NH-95 Chandigarh-Ludhiana Highway, Mohali, Punjab (INDIA)"
"Chandigarh Group of Colleges Jhanjeri Contact Number, Address & Location Map, Mohali","+91-1800-274-0444, +91-84376-04444",info@cgc.ac.in,http://www.cgc.ac.in,"Jhanjeri, Mohali-140307 (Punjab)"
"RBCA Wardha Contact Number, Address & Location Map, Wardha",07152-1840,info@shikshamandal.org,http://rbca.shikshamandal.org/,Arvi Road Pipri  Wardha Maharashtra 442001 India
"Central Agricultural University : College of Horticulture & Forestry Contact Number, Address & Location Map, Passighat",+91 368 2224887,vcofficecau@yahoo.in,http://www.cau.ac.in/colleges.html,"Pasighat – 791102 Arunachal Pradesh, India"
