College Name,Contact no,Email,Website,Address
"Maya Group Of Colleges Contact Number, Address & Location Map, Dehradun","+91-1352698602,+91-7351441144",info@maya.edu.in,http://www.mayagroup.org.in,"NH-72, Near Hotel The Competent Palace Chakrata Road, Selaqui, Dehradun (Uttarakhand) -248011"
"LSR Delhi Contact Number, Address & Location Map, Delhi","+91-1126434459, 45494949",lsrc@lsr.edu.in,http://www.lsr.edu.in,"Lajpat Nagar-IV, New Delhi - 110024, India,Part IV, Lajpat Nagar, Delhi, Delhi, India- 110024"
"Loyola College Contact Number, Address & Location Map, Chennai",91-44-2817-8291/92/93,alumni@loyolacollege.edu,http://www.loyolacollege.edu,"Loyola College,Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034"
"St. Xaviers College Contact Number, Address & Location Map, Mumbai",022 22620661,webadmin@xaviers.edu,http://xaviers.edu,"5, Mahapalika Marg, Mumbai, Maharashtra 400 001"
"Miranda House College Contact Number, Address & Location Map, Delhi",01127666983,principal@mirandahouse.ac.in,http://www.mirandahouse.ac.in/,"MIRANDA HOUSE, UNIVERSITY OF DELHI, DELHI - 110007"
"Presidency College, Berhampur Contact Number, Address & Location Map, Berhampur",+91-9437060621,presidencymail@gmail.com,https://www.presidencycollege.info/,"Sihala Road, Konisi, Golanthara, PIN: 761008, Berhampur"
"Madras Christian College Contact Number, Address & Location Map, Chennai",+91-044-22390675 / 22396772,principal@mcc.edu.in,http://www.mcc.edu.in,"Madras Christian College, Tambaram, Chennai, Tamil Nadu, India  PIN 600 059"
"Hindu College (HC), New Delhi Contact Number, Address & Location Map, New Delhi",+91-011-27667184,hinducol@del3.vsnl.net.in,http://www.hinducollege.ac.in/,"Hindu College,   University of Delhi,   University Enclave,   Delhi - 110007.   India."
"HRC Delhi Contact Number, Address & Location Map, Delhi","+91-11-27667747, +91-11-27667458",principal@hansrajcollege.ac.in,http://www.hansrajcollege.co.in/,"Mahatma Hans Raj Marg, Delhi 110007"
"Fergusson College Contact Number, Address & Location Map, Pune",020-67656000,principal@fergusson.edu,http://www.fergusson.edu,"Fergusson College, F.C. Road, Pune 411004"
"Punjabi University Contact Number, Address & Location Map, Patiala","01655-230321,3046367",pucmaur@hotmail.com,http://www.punjabiuniversity.ac.in/,District BathindaPunjab (India)PinCode : 151509
"K. J. Somaiya College of Arts and Commerce Contact Number, Address & Location Map, Mumbai",+91-022-21022915,principal@kjsac.somaiya.edu,http://somaiya.edu/,"K. J. Somaiya College of Engineering Vidyanagar, Vidyavihar(E), Mumbai - 400 077, Maharashtra."
"Ramjas College Contact Number, Address & Location Map, New Delhi",+91-11-27667706,principalramjascollege@gmail.com,http://www.ramjascollege.edu/,Ramjas CollegeUniversity EnclaveDelhi-110007India
"Jesus and Mary College Contact Number, Address & Location Map, New Delhi",+91-11-26110041,info@jmc.ac.in,http://www.jmc.ac.in/,"Jesus and Mary College, Chanakyapuri, New Delhi- 110021"
"The Neotia University Contact Number, Address & Location Map, Kolkata",+91-7044446999/+91-7044446888,contact@tnu.in,http://www.tnu.in,"Jhinga, Satrisa, D H Road, 24 Rgs(S)"
"JHC Mumbai Contact Number, Address & Location Map, Mumbai","+91-22-22041095 , +91-22-22040256",contactus@jaihindcollege.com,http://www.jaihindcollege.com,"A Road, Churchgate, Mumbai , Maharashtra, India - 400 020"
"Gargi College Contact Number, Address & Location Map, New Delhi",+91-011-26444544,gargicollege7@gmail.com,http://www.gargi.du.ac.in/,"University of Delhi, Siri Fort Road, South Ex 2, Delhi, Delhi, India- 110049"
"Sri Venkateswara College Contact Number, Address & Location Map, New Delhi",+91-11-24112196,principal@svc.ac.in,http://www.svc.ac.in/,"SRI VENKATESWARA COLLEGEUNIVERSITY OF DELHIBenito Juarez Road,Dhaula Kuan,New Dehli -110 021"
"Delhi College of Arts & Commerce Contact Number, Address & Location Map, New Delhi",+91-1124109821,principaldcac@gmail.com,http://dcac.du.ac.in,Delhi College of Arts & Commerce Address : Netaji NagarNew Delhi-110023.
"St. Xavier's College (SXC), Kolkata Contact Number, Address & Location Map, Kolkata",913322551101,principal@sxccal.edu,http://www.sxccal.edu/,"St. Xavier's College, 30 Mother Teresa Sarani, Kolkata - 700016"
"D.A.V. College (DAV), Jalandhar Contact Number, Address & Location Map, Jalandhar",0181 225 5641,principal@davjalandhar.com,http://www.davjalandhar.com,"Mahatma Hans Raj Marg, Near Post Office, Dayanand Nagar, Jalandhar, Punjab 144008"
"Ramnarain Ruia College Contact Number, Address & Location Map, Mumbai",022 2414 3119,principal@ruiacollege.edu,http://www.ruiacollege.edu/,"Ruia College rnL. Nappo Road, Matunga, Dadar East Mumbai, Maharashtra India 400019rn"
"SRCC Delhi Contact Number, Address & Location Map, Delhi",+91-11-27667905,principaloffice@srcc.du.ac.in,http://www.srcc.edu/,"Shri Ram College of Commerce, University of Delhi North Campus, Maurice Nagar, Delhi u2013 110 007"
"St. Andrew College Of Arts Science & Commerce Contact Number, Address & Location Map, Mumbai",(022)26401657,info@standrewscollege.ac.in,http://standrewscollege.ac.in,"St. Andrewu2019s College of Arts, Science and Commerce St. Dominic Road, Bandra (West), Mumbai u2013 400 050."
"Maharaja Agrasen College (MAC), Delhi Contact Number, Address & Location Map, Delhi",911122610565,principal@mac.du.ac.in,http://mac.du.ac.in/,Vasundhara EnclaveMayur Vihar 1DelhiIndia- 110096
"College of Social Work (CSW), Mumbai Contact Number, Address & Location Map, Mumbai",(+91) 22 22002615,nn@cswnn.edu.in,http://www.cswnn.edu.in/,"Churchgate (East)  38, New Marine Lines  Mumbai- 400 020"
"Tika Ram PG Girls College Contact Number, Address & Location Map, Sonepat",0130 - 2242059,principal.trgc@gmail.com,http://www.trgcsonepat.com/index.aspx,"Mission Road, Sonepat - 131001rnHaryanarn"
"LBC Kolkata Contact Number, Address & Location Map, Kolkata",+91-33-22897720.,info@ladybrabourne.com,http://www.ladybrabourne.com,"P-1/2, Suhrawardy Avenue, Opposite National Medical Hospital PIN: 700017"
"IIT Kanpur Contact Number, Address & Location Map, Kanpur","+91-512-2597288,+91-512-2597200",registrar@iitk.ac.in,http://www.iitk.ac.in,Kalyanpur Kanpur-208016 INDIA
"IIT Bhubaneswar Contact Number, Address & Location Map, Bhubaneswar",91-674-2576019,ar.acad@iitbbs.ac.in,http://www.iitbbs.ac.in/,IIT BHUBANESWARSamantapuri (Rearside of Hotel Swosti Plaza)Bhubaneswar-751 013
"Kamala Nehru College Contact Number, Address & Location Map, New Delhi",011- 26494881,kamla.nehru_du@hotmail.com,http://www.knc.edu.in/,"Kamala Nehru College , University of Delhi, August kranti Marg, New Delhi- 110049"
"Jagannath Community College, Sector-3, Rohini Contact Number, Address & Location Map, Delhi",+91-1145184100,admissions@jims.in,http://www.jims.in,"Community Centre, (Near Police Station), Sector-3, Rohini, Delhi-110085."
"Jagannath University Contact Number, Address & Location Map, Jaipur",+91-141-3020500,admission@jagannathuniversity.org,http://www.jagannathuniversity.org,"IP-2 & 3, Phase IV,Sitapura Ind. Area, Opp. Chokhi Dhani,Jaipur, Pin 302022."
"H K Arts College Contact Number, Address & Location Map, Ahmedabad",079-26585429,prin_hkarts@rediffmail.com,http://hkcollege.edu.in,"Opp. Handloom House, Ashram Road, Ahmedabad – 380 009 Gujarat – INDIA."
"Sanskriti University Contact Number, Address & Location Map, Mathura","+91-91 9358512345, 7500723300, +91-7500183300,+91-9690899944",enquiry@sanskriti.edu.in,http://www.sanskriti.edu.in,"28 K. M. Stone, Mathura - Delhi Highway, Chhata, Mathura Uttar Pradesh (U.P.) Pin - 281401"
"Vivekananda Degree College of Arts, Science, Commerce Contact Number, Address & Location Map, Bengaluru",080-23579511,secretary@vivekananda-jes.com,http://vdcjes.edu.in/,"Vivekanada Degree College Rajajinagar II Stage, Dr.Rajkumar Road Bangalore 560 055"
"M.E.S. Abasaheb Garware College Contact Number, Address & Location Map, Pune",020-41038200,agccomp@eth.net,http://mesgarwarecollege.org,"Maharashtra Education Society's Abasaheb Garware College, Karve Road, Pune - 411004"
"Bethune College Contact Number, Address & Location Map, Kolkata",+91-33-22571712,bethunecollege@vsnl.net,http://www.bethunecollege.ac.in/,"Bethune College, 181, Bidhan Sarani, Kolkata 700 006"
"KJC bangalore Contact Number, Address & Location Map, Bengaluru","""(080)28465611 (080)28465770 (080)28465353""",info@kristujayanti.com,https://kristujayanti.edu.in,"Kristu Jayanti College (Autonomous) K. Narayanapura, Kothanur (PO)  Bengaluru 560077"
"St. Joseph's College (SJC), Calicut Contact Number, Address & Location Map, Calicut",04952355901,sjcdevagiri@yahoo.co.in,http://www.devagiricollege.org,"St. Joseph's College (Autonomous), Devagiri Devagiri, Calicut Kerala India  673008"
"St. Xavier's College (SXC), Jaipur Contact Number, Address & Location Map, Jaipur","+91-9680791955,+91-9828726366,+91-9571077348",info@stxaviersjaipur.org,http://www.stxaviersjaipur.org,Nevta-Mahapura Road  Near Nevta Dam  Tehsil Sanganer  Jaipur-302029
"C.U. Shah Arts College Contact Number, Address & Location Map, Ahmedabad",+91-79-25506703,cushaharts@yahoo.com,http://www.cushahartscollege.org/index.php,"Laldarwaja,   Ahmedabad. Gujarat"
"MLACW bangalore Contact Number, Address & Location Map, Bengaluru",080 2334 9311,mlacw@mlacw.org,https://mlacw.edu.in/page/about,"Maharani Lakshmi Ammanni College for WomenrnScience PO, Malleshwaram rn18th Cross, Bangalore rnKARNATAKA, 560 012"
"Wilson College Contact Number, Address & Location Map, Mumbai",022-23637663,wilsoncollege.mumbai@gmail.com,http://www.wilsoncollege.edu/index.html,"CHOWPATTY SEAFACE ROAD, MUMBAI 400 007"
"JNC bangalore Contact Number, Address & Location Map, Bengaluru",080 2553 0137,info@jyotinivas.org,http://www.jyotinivas.org/,"Jyoti Nivas College Autonomous Hosur Road, Bangalore - 560 095"
"Kasturba Gandhi Degree & PG College for Women Contact Number, Address & Location Map, Secunderabad",+91-40-27802416,kasturbaprincipal@yahoo.com,http://kasturbagandhicollege.com,"West Marredpally, Secunderabad - 500026"
"Indraprastha College for Women Contact Number, Address & Location Map, New Delhi",01123954085,ipc1924@gmail.com,http://ipcollege.ac.in/,"31, Sham Nath Marg, Delhi-110054"
"Amity University Punjab Contact Number, Address & Location Map, Mohali","+91-80459-26489, +91-1800-20-26489",admissions@pb.amity.edu,http://www.amity.edu/mohali,"Amity University, Sector 82A, IT City, International Airport Road, Mohali"
"NDC bangalore Contact Number, Address & Location Map, Bengaluru",080-26674441,nationalbgudiautonomous@gmail.com,http://ncbgudi.com,Pampa Mahakavi Road Basavanagudi-560064
"R.H. Patel Arts & Commerce College Contact Number, Address & Location Map, Ahmedabad",079 2764 4878,info@rhpacc.org,http://rhpacc.org/,"Mansukh Nagar, Ranip, Ahmedabad, Gujarat 380013"
"Mithibai College of Arts, Chauhan Institute of Science & Amrutben Jivanlal College of Commerce and Economics Contact Number, Address & Location Map, Mumbai",+91-42339000,principal@mithibai.ac.in,http://mithibai.ac.in,"Vile Parle (W), Mumbai,Maharastra,India."
"Loreto College Contact Number, Address & Location Map, Kolkata",33 2264 0952,loretcol@cal2.vsnl.net.in,http://www.loretocollege.in,"7, Sir William Jones Sarani (formerly Middleton Row)  Kolkata - 700 071  West Bengal,India"
"AV College Of Arts, Science & Commerce Contact Number, Address & Location Map, Hyderabad",040-65760591,avcollege@gmail.com,http://www.avcollege.in/,"Gagan Mahal , Hyderabad, Andhra Pradesh- 500029, India."
"Brainware University Contact Number, Address & Location Map, Kolkata",+91-9831316035,sd.sro@brainwareuniversity.ac.in,http://www.brainwareuniversity.ac.in,"398, Ramkrishnapur Road, Barasat, Near Jagadighata Market, Kolkata, West Bengal 700125"
"St Ann's College for Women Contact Number, Address & Location Map, Hyderabad",040-23513020,stann_college@yahoo.co.in,http://www.stannscollegehyd.com,MehdipatnamHyderabad-28
"GNA University Contact Number, Address & Location Map, Phagwara","+91-1824-504999, +91-1800-137-7006 , +91-9876200089",info@gnauniversity.edu.in,http://www.gnauniversity.edu.in,"Phagwara - Hoshiarpur Road, Sri Hargobindgarh, Punjab 144401"
"WCC Chennai Contact Number, Address & Location Map, Chennai",044-28275926,info@wcc.edu.in,http://wcc.edu.in/,"Womenu2019s Christian College, #51, CollegetRoad, Chennai - 600006, Tamil Nadu, South India"
"Loyola Academy Degree & PG College Contact Number, Address & Location Map, Secunderabad",0091-40-27860077 / 2363,lacademyinformation@yahoo.in,http://loyolaacademyugpg.ac.in/about-us/,"Alwal Rd, Manjeera Colony, Spring Fields Colony, Jeedimetla, Hyderabad, Telangana 50000"
"SCC Kolkata Contact Number, Address & Location Map, Kolkata","+91 33 2350 3862, +91-33-2354-7105, +91-33-2360 7533",tic@scottishchurch.ac.in,http://www.scottishchurch.ac.in/,Scottish Church College1 & 3 Urquhart SquareKolkata 700 006India
"STC Ernakulam Contact Number, Address & Location Map, Ernakulam",04842351870,principal@teresas.ac.in,http://www.teresas.ac.in,"St. Teresa's College, Park Avenue Road, Near Govt. Guest House, Ernakulam - 682011"
"NMKRV bangalore Contact Number, Address & Location Map, Bengaluru",+91-80-26637042,nmkrv.college@gmail.com,http://www.nmkrv.edu.in,"3rd Block Jayanagar, Bangalore, Karnataka, India- 560011"
