College Name,Contact no,Email,Website,Address
"Sri Balaji PG Mahavidyalaya Contact Number, Address & Location Map, Jaipur","+91-141-2972260, 2972261",sbpgmv@gmail.com,http://www.sbss.ac.in/sbpgm/,"Benar Rd, Dadi Ka Phatak, Shankar Vihar Extension, Via, Jaipur, Rajasthan 302013"
"SRCC Delhi Contact Number, Address & Location Map, Delhi",+91-11-27667905,principaloffice@srcc.du.ac.in,http://www.srcc.edu/,"Shri Ram College of Commerce, University of Delhi North Campus, Maurice Nagar, Delhi u2013 110 007"
"LSR Delhi Contact Number, Address & Location Map, Delhi","+91-1126434459, 45494949",lsrc@lsr.edu.in,http://www.lsr.edu.in,"Lajpat Nagar-IV, New Delhi - 110024, India,Part IV, Lajpat Nagar, Delhi, Delhi, India- 110024"
"Loyola College Contact Number, Address & Location Map, Chennai",91-44-2817-8291/92/93,alumni@loyolacollege.edu,http://www.loyolacollege.edu,"Loyola College,Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034"
"St. Xaviers College Contact Number, Address & Location Map, Mumbai",022 22620661,webadmin@xaviers.edu,http://xaviers.edu,"5, Mahapalika Marg, Mumbai, Maharashtra 400 001"
"Hindu College (HC), New Delhi Contact Number, Address & Location Map, New Delhi",+91-011-27667184,hinducol@del3.vsnl.net.in,http://www.hinducollege.ac.in/,"Hindu College,   University of Delhi,   University Enclave,   Delhi - 110007.   India."
"SJCC Bangalore Contact Number, Address & Location Map, Bengaluru",(080) 25360644/46,info@sjcc.edu.in,http://www.sjcc.edu.in/,"No:163, Brigade Road, Bangalore, Karnataka, India- 560025"
"NMCCE Mumbai Contact Number, Address & Location Map, Mumbai",+91-022 42338000,info@nmcollege.in,http://nmcollege.in/,"Juhu Scheme, Ville Parle (West), Mumbai 400056"
"St. Andrew College Of Arts Science & Commerce Contact Number, Address & Location Map, Mumbai",(022)26401657,info@standrewscollege.ac.in,http://standrewscollege.ac.in,"St. Andrewu2019s College of Arts, Science and Commerce St. Dominic Road, Bandra (West), Mumbai u2013 400 050."
"Lingaya's Vidyapeeth Contact Number, Address & Location Map, Faridabad","+91-8929042765, +91-8447744303",Admission@lingayasvidyapeeth.edu.in,http://www.lingayasuniversity.edu.in,"University Campus:  Nachauli, Jasana Road, Old Faridabad, Haryana"
"HRC Delhi Contact Number, Address & Location Map, Delhi","+91-11-27667747, +91-11-27667458",principal@hansrajcollege.ac.in,http://www.hansrajcollege.co.in/,"Mahatma Hans Raj Marg, Delhi 110007"
"Mount Carmel College, Bangalore Contact Number, Address & Location Map, Bengaluru",+91-80-22261759,mounts@bgl.vsnl.net.in,http://www.mountcarmelcollegeblr.co.in/,"No. 58, Palace Road, Bangalore, India - 560 052"
"GD Goenka University Contact Number, Address & Location Map, Gurgaon",+91-8800992022,info@gdgoenka.ac.in,https://www.gdgoenkauniversity.com/,"G D Goenka Education City Sohna Gurgaon Road Sohna, Haryana India"
"Stella Maris College Contact Number, Address & Location Map, Chennai",+91-44-2811 1987/2811 1951,smc@md3.vsnl.net.in,http://www.stellamariscollege.org/,"Stella Maris College,17, Cathedral Road,Chennai - 600 086,Tamil Nadu,India"
"Madras Christian College Contact Number, Address & Location Map, Chennai",+91-044-22390675 / 22396772,principal@mcc.edu.in,http://www.mcc.edu.in,"Madras Christian College, Tambaram, Chennai, Tamil Nadu, India  PIN 600 059"
"Jagannath University NCR Haryana Contact Number, Address & Location Map, Bahadurgarh","+91-1276-699700, +91-9891179900, +91-9467398169, +91-9811864721",admission@jagannathuniversityncr.ac.in,http://www.jagannathuniversityncr.ac.in/ac-barch.aspx,"State Highway 22, Bahadurgarh-Jhajjar Road, Jhajjar, Haryana -124507"
"St. Xavier's College (SXC), Kolkata Contact Number, Address & Location Map, Kolkata",913322551101,principal@sxccal.edu,http://www.sxccal.edu/,"St. Xavier's College, 30 Mother Teresa Sarani, Kolkata - 700016"
"M.O.P. Vaishnav College For Women Contact Number, Address & Location Map, Chennai",044 2833 0262,mopvaishnav@mopvc.edu.in,http://www.mopvc.edu.in,"20, IV Lane, Nungambakkam High Road, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034"
"Sri Venkateswara College Contact Number, Address & Location Map, New Delhi",+91-11-24112196,principal@svc.ac.in,http://www.svc.ac.in/,"SRI VENKATESWARA COLLEGEUNIVERSITY OF DELHIBenito Juarez Road,Dhaula Kuan,New Dehli -110 021"
"H.R. College of commerce and economics Contact Number, Address & Location Map, Mumbai",+91 22 22876115 / 22042195,info@hrcollege.edu,http://www.hrcollege.edu/,123Dinshaw Wachha RoadChurchgateMumbai 400 020 India
"RC Hyderabad Contact Number, Address & Location Map, Hyderabad",40 2305 0898,rishiubr88@gmail.com,http://www.rishiubrpg.org/,"Near JNTUH Metro Station,            Jai Bharat Nagar, Kukatpally, Hyderabad, Telangana 500085"
"MLACW bangalore Contact Number, Address & Location Map, Bengaluru",080 2334 9311,mlacw@mlacw.org,https://mlacw.edu.in/page/about,"Maharani Lakshmi Ammanni College for WomenrnScience PO, Malleshwaram rn18th Cross, Bangalore rnKARNATAKA, 560 012"
"Indraprastha College for Women Contact Number, Address & Location Map, New Delhi",01123954085,ipc1924@gmail.com,http://ipcollege.ac.in/,"31, Sham Nath Marg, Delhi-110054"
"Goenka College of Commerce & Business Administration Contact Number, Address & Location Map, Kolkata",+91-0332241-2216,info@goenkacollege.net,http://www.goenkacollege.net/,"210, Bepin Behari Ganguly Street, Kolkata   700 012"
"Delhi College of Arts & Commerce Contact Number, Address & Location Map, New Delhi",+91-1124109821,principaldcac@gmail.com,http://dcac.du.ac.in,Delhi College of Arts & Commerce Address : Netaji NagarNew Delhi-110023.
"Ethiraj college for women Contact Number, Address & Location Map, Chennai","+(91)-44-28279189 , +(91)-44-28287210, +(91)-44-28240592",ethirajprincy@yahoo.com,http://www.ethirajcollege.in/,"70, Ethiraj Salai, Egmore, Thousand Lights, Chennai, Tamil Nadu 600008"
"K. J. Somaiya College of Arts and Commerce Contact Number, Address & Location Map, Mumbai",+91-022-21022915,principal@kjsac.somaiya.edu,http://somaiya.edu/,"K. J. Somaiya College of Engineering Vidyanagar, Vidyavihar(E), Mumbai - 400 077, Maharashtra."
"Gargi College Contact Number, Address & Location Map, New Delhi",+91-011-26444544,gargicollege7@gmail.com,http://www.gargi.du.ac.in/,"University of Delhi, Siri Fort Road, South Ex 2, Delhi, Delhi, India- 110049"
"Seshadripuram College Contact Number, Address & Location Map, Bengaluru",+91-80-22955354,info@spmcollege.ac.in,http://www.spmcollege.ac.in/,No. 27Nagappa StreetSeshadripuramBengaluru - 560 020
"Jesus and Mary College Contact Number, Address & Location Map, New Delhi",+91-11-26110041,info@jmc.ac.in,http://www.jmc.ac.in/,"Jesus and Mary College, Chanakyapuri, New Delhi- 110021"
"St.Alberts College Contact Number, Address & Location Map, Ernakulam",0091-484-2394225,admission@alberts.ac.in,http://www.alberts.ac.in/,"Banerji Road, Ernakulam, Kochi - 682 018"
"Shaheed Bhagat Singh College Contact Number, Address & Location Map, Delhi",+91-11-29250306,sbscprincipal@gmail.com,http://www.sbsc.in/,"Sheikh Sarai Phase II, New Delhi 110017"
"SHDC Sitapur Contact Number, Address & Location Map, Sitapur",05862-220133,shdcstp@gmail.com,http://shdcstp.org,"Naipalapur, Sitapur-261001"
"HLCC Ahmedabad Contact Number, Address & Location Map, Ahmedabad",+91-7926462820,mail@hlcollege.edu,http://www.hlcollege.edu,Late Prin. S. V. Desai RoadNavrangpuraAHMEDABAD-380009GUJARAT INDIA
"Sri Guru Gobind Singh College of Commerce Contact Number, Address & Location Map, Delhi",01127321528,sggscc@rediffmail.com,http://www.sggscc.ac.in/,"M5X2+4WQ, University of Delhi, Pitam Pura, Opposite TV Tower, Delhi-110088, India"
"St. Xavier's College (SXC), Jaipur Contact Number, Address & Location Map, Jaipur","+91-9680791955,+91-9828726366,+91-9571077348",info@stxaviersjaipur.org,http://www.stxaviersjaipur.org,Nevta-Mahapura Road  Near Nevta Dam  Tehsil Sanganer  Jaipur-302029
"St. Francis College for Women Contact Number, Address & Location Map, Hyderabad",04023403200,mail@stfranciscollege.ac.in,http://www.sfc.ac.in/,"Uma Nagar, Begumpet, Begumpet, Hyderabad, Telangana, India"
"Mithibai College of Arts, Chauhan Institute of Science & Amrutben Jivanlal College of Commerce and Economics Contact Number, Address & Location Map, Mumbai",+91-42339000,principal@mithibai.ac.in,http://mithibai.ac.in,"Vile Parle (W), Mumbai,Maharastra,India."
"JNC bangalore Contact Number, Address & Location Map, Bengaluru",080 2553 0137,info@jyotinivas.org,http://www.jyotinivas.org/,"Jyoti Nivas College Autonomous Hosur Road, Bangalore - 560 095"
"Bhavan's Sheth R.A. College of Arts and Commerce Contact Number, Address & Location Map, Ahmedabad",079 25600312,info@bhavancollege.org,http://www.bhavancollege.org/,"Bhavan's Sheth R.A. College of Arts and Commerce . Vidya Gauri, Neelkanth Road, Khanpur, Ahmedabad - 380001"
"KIIT Contact Number, Address & Location Map, Bhubaneswar",+91-674-2741747,admission@kiit.ac.in,http://www.kiitee.ac.in,Patia -Bhubaneswar 751024
"Ramaiah University of Applied Sciences Contact Number, Address & Location Map, Bengaluru",+91-8045366616,am.er@msruas.ac.in,http://www.msruas.ac.in,"University House, Gnanagangothri Campus New BEL Road, M S R Nagar, Bangalore Karnataka, INDIA - 560 054"
"R.A. Podar College Of Commerce & Economics Contact Number, Address & Location Map, Mumbai","+91-22- 24143178, 24142960",info@rapodar.ac.in,http://www.rapodar.ac.in,"R A Podar College Of Commerce & Economics L.N. Road,, Matunga (CR),Mumbai - 400 019"
"NMIMS Anil Surendra Modi School of Commerce Contact Number, Address & Location Map, Mumbai",+91-22-42355555,enquiry@nmims.edu,http://commerce.nmims.edu/,"V. L. Mehta Road,8th Floor, V. L. Mehta Road,Vile-Parle (West),Mumbai u2013 400 056. India.Tel.: +91 u2013 22 u2013 4235 5555Timings: 10.00 a.m. to 1.00 p.m. & 2.00 p.m. to 6.00 p.m."
"Ramjas College Contact Number, Address & Location Map, New Delhi",+91-11-27667706,principalramjascollege@gmail.com,http://www.ramjascollege.edu/,Ramjas CollegeUniversity EnclaveDelhi-110007India
"G.H. Raisoni College of Commerce, Science and Technology Contact Number, Address & Location Map, Nagpur","+91-9307900682, 0712-6617181",ghrccstnag@raisoni.net,http://ghrccst.raisoni.net/,"Shri Mohini Complex, 345 First Floor, Kingsway Rd, Nagpur, Maharashtra 440001"
"JHC Mumbai Contact Number, Address & Location Map, Mumbai","+91-22-22041095 , +91-22-22040256",contactus@jaihindcollege.com,http://www.jaihindcollege.com,"A Road, Churchgate, Mumbai , Maharashtra, India - 400 020"
"Jagannath Community College, Sector-3, Rohini Contact Number, Address & Location Map, Delhi",+91-1145184100,admissions@jims.in,http://www.jims.in,"Community Centre, (Near Police Station), Sector-3, Rohini, Delhi-110085."
"SIES Mumbai Contact Number, Address & Location Map, Mumbai",+91 22 2407 27 29,contact@sies.edu.in,http://www.siesascs.edu.in,"SIES College of Arts, Science and Commerce, Jain Society, Sion West, Mumbai 400 022  INDIA"
"Loyola Academy Degree & PG College Contact Number, Address & Location Map, Secunderabad",0091-40-27860077 / 2363,lacademyinformation@yahoo.in,http://loyolaacademyugpg.ac.in/about-us/,"Alwal Rd, Manjeera Colony, Spring Fields Colony, Jeedimetla, Hyderabad, Telangana 50000"
"The New College Contact Number, Address & Location Map, Chennai",+91-44-2835 1269,thenewcollege600014@gmail.com,http://thenewcollege.in/,"The New College, 87, Peteru2019s Road, Royapettah, Chennai u2013 600 014"
"St. Joseph Degree & PG College Contact Number, Address & Location Map, Hyderabad",040-23234860,info@josephscollege.ac.in,http://www.josephscollege.ac.in/,St. Joseph's Degree and PG College5-9-1106King KotiMain RoadHyderabad - 500029. Telangana - India.
"St Ann's College for Women Contact Number, Address & Location Map, Hyderabad",040-23513020,stann_college@yahoo.co.in,http://www.stannscollegehyd.com,MehdipatnamHyderabad-28
"ITC Lucknow Contact Number, Address & Location Map, Lucknow",0522 2321107,itcollege@sancharnet.in,http://itcollege.ac.in/,"Isabella Thoburn College, 7, Faizabad Road, Lucknow-226007"
"BESC Kolkata Contact Number, Address & Location Map, Kolkata",033 4019-5555,info@thebges.edu.in,http://thebges.edu.in,5 Lala Lajpat Rai SaraniKolkata: 700 020
"Sanskriti University Contact Number, Address & Location Map, Mathura","+91-91 9358512345, 7500723300, +91-7500183300,+91-9690899944",enquiry@sanskriti.edu.in,http://www.sanskriti.edu.in,"28 K. M. Stone, Mathura - Delhi Highway, Chhata, Mathura Uttar Pradesh (U.P.) Pin - 281401"
"NWCC Pune Contact Number, Address & Location Map, Pune",+91-020-2616702,nesswadiacollege@gmail.com,http://nesswadiacollege.edu.in/,"19, Late Prin. V. K. Joag Path, Pune - 411 001. Maharashtra State (India)"
"Sydenham College of Commerce and Economics (SCCE), Mumbai Contact Number, Address & Location Map, Mumbai",+91-022-22042897,sydprincipal@sydenham.ac.in,http://www.sydenham.ac.in/,B- RoadChurchgateMumbai 400 020
"D.R. Nayapalli College Contact Number, Address & Location Map, Bhubaneswar",91-674-2561983,womenscollege.khurda@gmail.com,http://drncollege.org/,"Plot No. -A/77, Nayapalli Mouza, At/P.O.: Nayapalli, Bhubaneswar"
"PSGR Krishnammal College for Women Contact Number, Address & Location Map, Coimbatore",+91-4224295959,principal@psgrkcw.ac.in,http://www.psgrkcw.ac.in,"Peelamedu Coimbatore - 641 004 Tamilnadu, INDIA"
"Sivanath Sastri College Contact Number, Address & Location Map, Kolkata","+91-033-24612689, 91-03324611236",sivanathsastricollege@yahoo.in,http://sivanathsastricollege.org/,"23/49 Gariahat Road , Kolkata 700029"
"Institute of Advance Education and Research Contact Number, Address & Location Map, Kolkata",+91-8001110000,admission@iaer.in,http://www.iaer.in,"Bengal Intelligent Park , Delta Wing , Block EP & GP, Plot A2 & M2, Sector V, Bidhannagar, Kolkata, West Bengal 700091"
