College Name,Contact no,Email,Website,Address
mber, Address & Location Map, Hanumangarh","+91-8875132111, +91-8875134111",help@skduniversity.com,https://www.skduniversity.com/,"Chak 7STG, Khushal Nagar, Near Toll Plaza, Suratgarh Road, Hanumangarh Jn., Rajasthan"
"NLSIU Bangalore Contact Number, Address & Location Map, Bengaluru","+91-80 2321 3160, +91-80 2316 0532, +91-80 2316 0533, +91-80 2316 0535",registrar@nls.ac.in,http://www.nls.ac.in,"National Law School of India University rnP.O. Bag 7201, Nagarbhavi,rnBangalore - 560 072rnKarnnataka, India"
"NLU Delhi Contact Number, Address & Location Map, Delhi",+91-11-28034257,admission@nludelhi.ac.in,http://www.nludelhi.ac.in,"Sector 14, Dwarka, New Delhi u2013 110078rnINDIA"
"NALSAR University of Law Contact Number, Address & Location Map, Hyderabad","+91-40-23498200, +91-40-23498400",admissions@nalsar.ac.in,http://www.nalsar.ac.in,"NALSAR University of Law Post Box No.1, Justice City, Shameerpet, R.R. District, Hyderabad - 500101, Telangana."
"NLIU Bhopal Contact Number, Address & Location Map, Bhopal",07552696965,nliu@nliu.ac.in,http://www.nliu.ac.in,"Kerwa Dam Road, Bhopal, M.P. - 462 044"
"SLS Noida Contact Number, Address & Location Map, Noida",0120 - 2405061,info@symlaw.edu.in,http://symlaw.edu.in/,"Opposite Nokia Siemens Building, Block A 47/48, Sector-62, Noida, Uttar Pradesh, India- 201301"
"Jagran Lakecity University Contact Number, Address & Location Map, Bhopal","+91-7556611100, +91-7471110103",info@jlu.edu.in,http://www.jlu.edu.in,"Jagran Lakecity University, Mugaliyachap, Bhopal, Madhya Pradesh, 462044"
"ILS Law College Contact Number, Address & Location Map, Pune",+91-020-25656775,ilslaw@vsnl.com,http://www.ilslaw.edu/,"Law College Road (Chiplunkar Road),rnPune 411004, Maharashtra State, India."
"SAGE University Bhopal Contact Number, Address & Location Map, Bhopal","+91-7566168002,+91-9826872300 | +91-7898924424",info@sageuniversity.in,http://www.sageuniversity.edu.in,"Sahara Bypass Road, Katara Hills Extension, Bhopal (M.P.) - 462022"
"Gujarat National Law University Contact Number, Address & Location Map, Gandhinagar",+91-79-23276611/23276612,contact@gnlu.ac.in,http://www.gnlu.ac.in,"Attalika Avenue, Knowledge Corridor, Koba, Gandhinagar - 382007 (Gujarat) INDIA,"
"SAGE University Contact Number, Address & Location Map, Indore",+91-9522578382,admission@sageuniversity.in,http://www.sageuniversity.in,"Kailod Kartal, Indore-Dewas By-Pass Road, Indore -452020"
"OP Jindal Global University Contact Number, Address & Location Map, Sonepat",+ 91-130-4091888,info@jgu.edu.in,http://www.jgu.edu.in,"O.P. Jindal Global University Sonipat, Narela Road Near Jagdishpur village Sonipat, Haryana-131001, NCR of Delhi, India"
"NLU Jodhpur Contact Number, Address & Location Map, Jodhpur","+91-291-2577530, 2577526",nlu-jod-rj@nic.in,http://www.nlujodhpur.ac.in,"NH-65, Nagour Road, Mandore, Jodhpur - 342304 (Raj.) - INDIA"
"BHU Contact Number, Address & Location Map, Varanasi",0542 236 8558,ims@gmail.com,http://www.bhu.ac.in/ims/ayurveda/ayurveda_about.htm,"Kabir Colony, Banaras Hindu University Campus, Varanasi, Uttar Pradesh 221005"
"Sanskriti University Contact Number, Address & Location Map, Mathura","+91-91 9358512345, 7500723300, +91-7500183300,+91-9690899944",enquiry@sanskriti.edu.in,http://www.sanskriti.edu.in,"28 K. M. Stone, Mathura - Delhi Highway, Chhata, Mathura Uttar Pradesh (U.P.) Pin - 281401"
"SLC Pune Contact Number, Address & Location Map, Pune",020-24350595,principal_slc@sinhgad.edu,http://www.sinhgad.edu/SINHGAD-LAW-COLLEGE/,"S.No.10/1 Near Maharashtra Bank Wadgaon Campus, Ambegaon BK, Pune, Maharashtra 411041"
"ALS Noida Contact Number, Address & Location Map, Noida",+91-0120-439 2683,alsdelhi@amity.edu,http://www.amity.edu/als/,"Block u2013 J2, Ground Floor , Amity University Campus, Sector-125, Noida, Uttar Pradesh, India - 201303"
"Rajiv Gandhi National University of Law Contact Number, Address & Location Map, Patiala",+91-1752391600,info@rgnul.ac.in,http://www.rgnul.ac.in,"Sidhuwal - Bhadson Road,  Patiala  (PUNJAB)"
"Hidayatullah National Law university Contact Number, Address & Location Map, Raipur",+91-771-3057617,registrar@hnlu.ac.in,http://www.hnlu.ac.in,"Nava Raipur, Atal Nagar, District - Raipur 492002 (Chhattisgarh)"
"Dr.Ram Manohar Lohiya National Law University Contact Number, Address & Location Map, Lucknow","+91-522-2425902, 903",registrar@rmlnlu.ac.in,http://www.rmlnlu.ac.in,"Sec- D1, LDA Colony, Kanpur Road Scheme,Lucknow u2013 226012"
"Faculty of Law, Jamia Milia Islamia University Contact Number, Address & Location Map, Delhi",mbatra@jmi.ac.in,http://jmi.ac.in/law,"Faculty of Law,Jamia Millia Islamia,New Delhi-110025"
"Government Law college (GLC), Mumbai Contact Number, Address & Location Map, Mumbai",+91-022-2204 1707,principal@glcmumbai.com,http://glcmumbai.com/,"Government Law College 'A' Road, Churchgate, Mumbai- 400 020"
"Army institute of Law (AIL), Mohali Contact Number, Address & Location Map, Mohali",172-5095336-338,info@ail.ac.in,http://ail.ac.in/,"ARMY INSTITUTE OF LAW  SECTOR 68, MOHALI  PIN 160062, PUNJAB (INDIA)"
