College Name,Contact no,Email,Website,Address
"Jabalpur Contact Number, Address & Location Map, Jabalpur","+91-11000305, +91-11000301, +91-8889995109",anushreecollegeofnursing@gmail.com,https://nursing.anushreecollege.com/,"112, Near ISBT, Kasodhan Nagar, Maadhotal,Jabalpur (MP)"
"AIIMS Delhi (AIIMS), Delhi Contact Number, Address & Location Map, Delhi",+91-011-26588500,dean@aiims.ac.in,http://www.aiims.edu/,"Gautam Nagar, Ansari Nagar East, New Delhi, Delhi 110029rn"
"CMC Vellore Contact Number, Address & Location Map, Vellore",+91-04162288000,directorate@cmcvellore.ac.in,http://www.cmch-vellore.edu/,"Ida Scudder Road,, Tamil Nadu - Other, Tamil Nadu, India- 632004"
"Armed Forces Medical College (AFMC), Pune Contact Number, Address & Location Map, Pune",02026363301,trgoffr.afmc@nic.in,http://www.afmc.nic.in/,"Opposite Race Course, Pune-Solapur Road, Pune, Maharashtra 411013"
"KMC Mangalore Contact Number, Address & Location Map, Mangalore",092437 77733,registrar@manipal.edu,http://manipal.edu/kmc-mangalore.html,"203, Light House Hill Rd, Hampankatta, Mangaluru, Karnataka 575001"
"MAMC Delhi Contact Number, Address & Location Map, Delhi","+91-11-23239271 , 23239279",info@mamc.ac.in,http://www.mamc.ac.in/,"Bahadur Shah Zafar Marg, New Delhi, Delhi 110002"
"JIPMER Puducherry Contact Number, Address & Location Map, Puducherry","0413-2296002, 0413-2272901",dean@jipmer.edu.in,http://jipmer.edu.in/,"JIPMER, Dhanvantri Nagar, Gorimedu, Puducherry-605 006"
"LHMC New Delhi Contact Number, Address & Location Map, New Delhi","+91-11-27667647, 27662764, 27662208",dean_medical@du.ac.in,http://fmsc.ac.in,"C-604, Shaheed Bhagat Singh Road, Diz Area, Connaught Place, Lady Hardinge Medical College, Connaught Place, New Delhi, Delhi 110001"
"MMC Chennai Contact Number, Address & Location Map, Chennai",+91-44-25305000,mmcadmin@tn.gov.in,http://www.mmc.tn.gov.in/default.html,"Madras Medical College and Government General HospitalrnE.V.R Periyar Salai ,rnPark Town, rnChennai - 600 003"
"SRMCRI Chennai Contact Number, Address & Location Map, Chennai",044 45928500,deanresearch@sriramachandra.edu.in,http://www.sriramachandra.edu.in/university/colleges.php?cid=4,"No.1 Ramachandra NagarPorur, Chennai - 600 116Tamil Nadu, India."
"Seth Gordhandas Sunderdas Medical College Contact Number, Address & Location Map, Mumbai",02224136051,websitecontact@kem.edu,http://www.kem.edu/,"Seth GS Medical College and KEM Hospital, Acharya Donde Marg, Parel, Mumbai – 400012. India"
"Government Medical College (GMC), Amritsar Contact Number, Address & Location Map, Amritsar","0183-2426918,",principal@gmc.edu.in,http://www.gmc.edu.in/,Circular Road Amritsar Punjab India
"MGIMS Wardha Contact Number, Address & Location Map, Wardha",+91-7152 284341-55,dean@mgims.ac.in,https://www.mgims.ac.in,"Mahatma Gandhi Institute of Medical Sciences,Sevagram, Wardha 442102,Maharashtra, INDIA"
"CMC Indore Contact Number, Address & Location Map, Indore",+91-755-6679258,info@cmchbhopal.com,http://www.cmchbhopal.com,"Chirayu Medical College & Hospital Bhainsakhedi, Near Bairagarh (Bhopal-Indore Highway), Bhopal, M.P. - 462030"
"IPGME&R Kolkata Contact Number, Address & Location Map, Kolkata",director.ipgmer@gmail.com,http://www.ipgmer.gov.in,"O/o Director, IPGME&R, Kolkatarn1st floor Administrative Blockrn244 A.J.C Bose Road, Kolkata - 700 020"
"BJMC Ahmedabad Contact Number, Address & Location Map, Ahmedabad",+91-79-22680074,dean.bjmc@hotmail.com,http://www.bjmc.org/,"B.J. Medical College, Asarwa, Ahmedabad - 380 016, Gujarat"
"Govt Medical College Nagpur Contact Number, Address & Location Map, Nagpur",0712-2744671,gmcnagpur@gmail.com,http://gmcnagpur.gov.in/,"Government Medical College,Near Hanuman NagarNagpur- 440009."
"Government Medical College, Kozhikode Contact Number, Address & Location Map, Kozhikode","91-495-2350216, 91-495-2350217",principal@govtmedicalcollegekozhikode.ac.in,http://www.govtmedicalcollegekozhikode.ac.in,"17 Medical College Road Medical College Junction, Near Police Station, Kozhikode, Kerala 673008"
"Govt. Medical College (GMC), Kottayam Contact Number, Address & Location Map, Kottayam",91- 481 2597284,medicalcollegekottayam@gmail.com,http://www.kottayammedicalcollege.org/index.php,"Government Medical College ,Gandhinagar P.O, Kottayam , Kerala , India – 686 008."
"Government Medical College (GMC), Patiala Contact Number, Address & Location Map, Patiala",0175-2212018,gomcoitcell@yahoo.com,http://www.gmcpatiala.com/,"Govt. Medical College, Patiala Rajindra Hospital, Patiala"
"UCMS New Delhi Contact Number, Address & Location Map, New Delhi",+91-11-22582106,principal@ucms.ac.in,http://www.ucms.ac.in/,"Dilshad Garden,Delhi - 110 095,India"
"GMCH Chandigarh Contact Number, Address & Location Map, Chandigarh",+91-0172-2601023,dpgmch-chd@gmch.gov.in,http://www.gmch.gov.in/,"GOVERNMENT MEDICAL COLLEGE & HOSPITALrnSECTOR 32, CHANDIGARH,PIN 160030, INDIA"
"RIMS Ranchi Contact Number, Address & Location Map, Ranchi",+91-651-2541533,rimsranchi@rediffmail.com,http://www.rimsranchi.org,"Bariatu, Ranchi - 834009 Jharkhand INDIA."
"Government T.D. Medical College Contact Number, Address & Location Map, Alappuzha",0477 – 2282367,tdmcalappuzha@gmail.com,http://www.tdmcalappuzha.org,"Vandanam, Alappuzha, Kerala 688005"
"TNMC Mumbai Contact Number, Address & Location Map, Mumbai",02223027000,deantnmcmumbai@gmail.com,http://www.tnmcnair.com/,"Dr. A. L. Nair Road, Mumbai, Maharashtra 400008"
"SBMCH Chennai Contact Number, Address & Location Map, Chennai",044 4291 1000,sbmc_h@yahoo.com,http://www.sbmch.ac.in,"7, Works Road, Chromepet Chennai,Tamil Nadu, India"
"GSVMMC Kanpur Contact Number, Address & Location Map, Kanpur",915122535483,info@gsvmmedicalcollege.com,http://www.gsvmmedicalcollege.com,"Swaroop Nagar, Kanpur, Uttar Pradesh India"
"PGIMS Rohtak Contact Number, Address & Location Map, Rohtak",01262211300,director.pgims@hry.nic.in,http://www.pgimsrohtak.nic.in/,"Pt. B.D. Sharma PGIMS,  Rohtak."
"CIMS Bilaspur Contact Number, Address & Location Map, Bilaspur",+91-7752-230030,deancims@gmail.com,http://www.cimsbilaspur.ac.in,Sardar Vallabh Bhai Patel HospitalBilaspur (Chhattisgarh) - 495 009India
"MSRMC bangalore Contact Number, Address & Location Map, Bengaluru",080-23605190,msrmedical@gmail.com,http://www.msrmc.ac.in/,M. S. Ramaiah Medical CollegeMSR College RoadMSR NagarMSRIT PostMathikereM S Ramaiah NagarDevasandra LayoutBengaluruKarnataka 560054
"MIMS Vizianagaram Contact Number, Address & Location Map, Vizianagaram",(+91) 08922 244365,principalsretmims@gmail.com,http://www.mimsvzm.org,"31-15, Near MDO Office,rnNellimarla, Vizianagaram District,rnAndhra Pradesh, India.rnPin 535 217."
"SVS Medical College Contact Number, Address & Location Map, Mahbubnagar",+91-0854225632,info@svsmedicalcollege.com,http://www.svsmedicalcollege.com,"SVS Medical College YENUGONDA MAHABUB NAGAR,"
"Coimbatore Medical College Contact Number, Address & Location Map, Coimbatore",+91-0422-2574375,http://www.cmccbe.ac.in,"Avinashi Road, MGR Nagar, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014"
"Fathima Institute of Medical Sciences Contact Number, Address & Location Map, Kadapa",040- 233003255,fims.kadapa.ap@gmail.com,http://www.fimskadapa.in,"Ramarajupalli,Pulivendula Road,Kadapa - 516003, Andhra Pradesh, India"
"Sikkim Manipal University Contact Number, Address & Location Map, Gangtok",03592   270294,info@smu.edu.in,http://smu.edu.in/smcon.html,"5th Mile, Tadong Gangtok, East Sikkim Pin - 737102"
"AJ Institute of Medical Science Contact Number, Address & Location Map, Mangalore",91 824 222 5533,deanajims@gmail.com,http://www.ajmedicals.in,"NH -66, Mangalore - 575 004.INDIA"
